original_title,release_year,director,production_companies,genres,budget (millions),revenue (millions),profit (millions),roi,popularity,vote_average,vote_count
Jurassic World,2015,Colin Trevorrow,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,Action|Adventure|Science Fiction|Thriller,150.0,1513.53,1363.53,9.09,32.99,6.5,5562
Mad Max: Fury Road,2015,George Miller,Village Roadshow Pictures|Kennedy Miller Productions,Action|Adventure|Science Fiction|Thriller,150.0,378.44,228.44,1.52,28.42,7.1,6185
Insurgent,2015,Robert Schwentke,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,Adventure|Science Fiction|Thriller,110.0,295.24,185.24,1.68,13.11,6.3,2480
Star Wars: The Force Awakens,2015,J.J. Abrams,Lucasfilm|Truenorth Productions|Bad Robot,Action|Adventure|Science Fiction|Fantasy,200.0,2068.18,1868.1799999999998,9.34,11.17,7.5,5292
Furious 7,2015,James Wan,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,Action|Crime|Thriller,190.0,1506.25,1316.25,6.93,9.34,7.3,2947
The Revenant,2015,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,Western|Drama|Adventure|Thriller,135.0,532.95,397.95000000000005,2.95,9.11,7.2,3929
Terminator Genisys,2015,Alan Taylor,Paramount Pictures|Skydance Productions,Science Fiction|Action|Thriller|Adventure,155.0,440.6,285.6,1.84,8.65,5.8,2598
The Martian,2015,Ridley Scott,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,Drama|Adventure|Science Fiction,108.0,595.38,487.38,4.51,7.67,7.6,4572
Minions,2015,Kyle Balda|Pierre Coffin,Universal Pictures|Illumination Entertainment,Family|Animation|Adventure|Comedy,74.0,1156.73,1082.73,14.63,7.4,6.5,2893
Inside Out,2015,Pete Docter,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,Comedy|Animation|Family,175.0,853.71,678.71,3.88,6.33,8.0,3935
Spectre,2015,Sam Mendes,Columbia Pictures|Danjaq|B24,Action|Adventure|Crime,245.0,880.67,635.67,2.59,6.2,6.2,3254
Jupiter Ascending,2015,Lana Wachowski|Lilly Wachowski,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,Science Fiction|Fantasy|Action|Adventure,176.000003,183.99,7.989997000000017,0.05,6.19,5.2,1937
Ex Machina,2015,Alex Garland,DNA Films|Universal Pictures International (UPI)|Film4,Drama|Science Fiction,15.0,36.87,21.869999999999997,1.46,6.12,7.6,2854
Pixels,2015,Chris Columbus,Columbia Pictures|Happy Madison Productions,Action|Comedy|Science Fiction,88.0,243.64,155.64,1.77,5.98,5.8,1575
Avengers: Age of Ultron,2015,Joss Whedon,Marvel Studios|Prime Focus|Revolution Sun Studios,Action|Adventure|Science Fiction,280.0,1405.04,1125.04,4.02,5.94,7.4,4304
The Hateful Eight,2015,Quentin Tarantino,Double Feature Films|The Weinstein Company|FilmColony,Crime|Drama|Mystery|Western,44.0,155.76,111.75999999999999,2.54,5.9,7.4,2389
Taken 3,2015,Olivier Megaton,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,Crime|Action|Thriller,48.0,325.77,277.77,5.79,5.75,6.1,1578
Ant-Man,2015,Peyton Reed,Marvel Studios,Science Fiction|Action|Adventure,130.0,518.6,388.6,2.99,5.57,7.0,3779
Cinderella,2015,Kenneth Branagh,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,Romance|Fantasy|Family|Drama,95.0,542.35,447.35,4.71,5.56,6.8,1495
The Hunger Games: Mockingjay - Part 2,2015,Francis Lawrence,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,War|Adventure|Science Fiction,160.0,650.52,490.52,3.07,5.48,6.5,2380
Tomorrowland,2015,Brad Bird,Walt Disney Pictures|Babieka|A113,Action|Family|Science Fiction|Adventure|Mystery,190.0,209.04,19.039999999999992,0.1,5.46,6.2,1899
Southpaw,2015,Antoine Fuqua,Escape Artists|Riche-Ludwig Productions,Action|Drama,30.0,91.71,61.709999999999994,2.06,5.34,7.3,1386
San Andreas,2015,Brad Peyton,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,Action|Drama|Thriller,110.0,470.49,360.49,3.28,4.91,6.1,2060
Fifty Shades of Grey,2015,Sam Taylor-Johnson,Focus Features|Trigger Street Productions|Michael De Luca Productions,Drama|Romance,40.0,569.65,529.65,13.24,4.71,5.3,1865
The Big Short,2015,Adam McKay,Paramount Pictures|Plan B Entertainment|Regency Enterprises,Comedy|Drama,28.0,133.35,105.35,3.76,4.65,7.3,1545
Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,Action,150.0,682.33,532.33,3.55,4.57,7.1,2349
Ted 2,2015,Seth MacFarlane,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,Comedy,68.0,215.86,147.86,2.17,4.56,6.3,1666
Kingsman: The Secret Service,2015,Matthew Vaughn,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,Crime|Comedy|Action|Adventure,81.0,403.8,322.8,3.99,4.5,7.6,3833
Spotlight,2015,Tom McCarthy,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,Drama|Thriller|History,20.0,88.35,68.35,3.42,4.06,7.8,1559
Maze Runner: The Scorch Trials,2015,Wes Ball,Gotham Group|Temple Hill Entertainment|TSG Entertainment,Action|Science Fiction|Thriller,61.0,311.26,250.26,4.1,3.97,6.4,1849
Mr. Holmes,2015,Bill Condon,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,Mystery|Drama,0.0,29.36,29.36,,3.93,6.4,425
Chappie,2015,Neill Blomkamp,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,Crime|Action|Science Fiction,49.0,102.07,53.06999999999999,1.08,3.9,6.6,1990
Pitch Perfect 2,2015,Elizabeth Banks,Universal Pictures|Gold Circle Films|Brownstone Productions,Comedy|Music,29.0,287.51,258.51,8.91,3.88,6.8,1264
Bridge of Spies,2015,Steven Spielberg,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,Thriller|Drama,40.0,162.61,122.61000000000001,3.07,3.65,7.1,1638
Goosebumps,2015,Rob Letterman,Columbia Pictures|Original Film|Scholastic Entertainment,Adventure|Horror|Comedy,58.0,150.17,92.16999999999999,1.59,3.64,6.2,600
Room,2015,Lenny Abrahamson,Element Pictures|No Trace Camping|A24|Duperele Films,Drama|Thriller,6.0,35.4,29.4,4.9,3.56,8.0,1520
Solace,2015,Afonso Poyart,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,Crime|Drama|Mystery,0.0,22.35,22.35,,3.36,6.2,474
The Good Dinosaur,2015,Peter Sohn,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,Adventure|Animation|Comedy|Family|Fantasy,175.0,331.93,156.93,0.9,3.34,6.6,1087
Run All Night,2015,Jaume Collet-Serra,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,Action|Crime|Drama|Mystery|Thriller,50.0,71.56,21.560000000000002,0.43,3.24,6.3,814
Brooklyn,2015,John Crowley,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,Drama|Romance,11.0,62.08,51.08,4.64,3.23,7.3,754
Straight Outta Compton,2015,F. Gary Gray,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,Drama|Music,28.0,201.63,173.63,6.2,3.2,7.7,918
The Last Witch Hunter,2015,Breck Eisner,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,Fantasy|Action|Adventure,90.0,140.4,50.400000000000006,0.56,3.08,5.6,879
Steve Jobs,2015,Danny Boyle,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,History|Drama,30.0,34.44,4.439999999999998,0.15,3.08,6.9,1035
The Man from U.N.C.L.E.,2015,Guy Ritchie,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,Comedy|Action|Adventure,75.0,108.15,33.150000000000006,0.44,3.05,7.0,1548
The Age of Adaline,2015,Lee Toland Krieger,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,Fantasy|Drama|Romance,25.0,42.63,17.630000000000003,0.71,3.03,7.3,1221
Hardcore Henry,2015,Ilya Naishuller,Bazelevs Production|Versus Pictures,Action|Adventure|Science Fiction,10.0,14.33,4.33,0.43,3.02,5.9,396
